"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"83","Normal/Others","WS/MP761/2024-2025/145015-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hall near Sri Bhashyam School, Ayodhya Nagar","Arvind Dharmapuri","NIZAMABAD","19-Aug-2025","N/A","N/A","3,98,575"
"84","Normal/Others","WS/MP370/2024-2025/145195-Construction of community centers and community halls","Odisha","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Completion fo Community Center at B-36, Sector-3, Rourkela (Executing Agency ITDA Panposh)","Shri Jual Oram","SUNDARGARH (ST)","20-Feb-2026","Images","N/A","7,80,000"
"85","Normal/Others","WS/MP370/2024-2025/145196-Construction of community centers and community halls","Odisha","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Const. of Bathroom,Toilet & Kitchen and street light of Kudukh Padha Ghar at Durgapur Orampada, Udit Nagar (Executing Agency ITDA Panposh)","Shri Jual Oram","SUNDARGARH (ST)","21-Feb-2026","Images","N/A","8,00,000"
"86","Normal/Others","WS/MP681/2024-2025/145255-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Construction of cultural hall at deulgaon Dhudhate, tal.Purna.","Sanjay Haribhau Jadhav","PARBHANI","16-Jul-2025","Images","N/A","9,99,768"
"87","Normal/Others","WS/MP416/2024-2025/145370-Construction of community centers and community halls","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Construction of community halls near Shapur durga mandir  block: Pandaul panchayat:Sripur Hati south.","Ashok Kumar Yadav","MADHUBANI","13-Aug-2025","N/A","N/A","9,33,991"
"88","Normal/Others","WS/MP370/2024-2025/145452-Construction of community centers and community halls","Odisha","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Completion of Mandap at Bhaluabahal","Shri Jual Oram","SUNDARGARH (ST)","14-Aug-2025","Images","N/A","5,00,000"
"89","Normal/Others","WS/MP370/2024-2025/145453-Construction of community centers and community halls","Odisha","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Completion of Mandap at Barangakachhar","Shri Jual Oram","SUNDARGARH (ST)","14-Aug-2025","Images","N/A","5,00,000"
"90","Normal/Others","WS/MP370/2024-2025/145454-Construction of community centers and community halls","Odisha","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Completion of Mandap at Kulga","Shri Jual Oram","SUNDARGARH (ST)","14-Aug-2025","Images","N/A","5,00,000"
"91","Normal/Others","WS/MP370/2024-2025/145455-Construction of community centers and community halls","Odisha","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Complation of Mandap at Patuapada Harijanpada","Shri Jual Oram","SUNDARGARH (ST)","14-Aug-2025","Images","N/A","5,00,000"
"92","Normal/Others","WS/MP18048/2024-2025/145567-Construction of community centers and community halls","Chhattisgarh","SUKMA(Collector Sukma_IDA)","gram panchayat budadi me rashan dukan hetu bhavan nirman karya","MAHESH KASHYAP","BASTAR(ST)","26-Nov-2025","Images","N/A","4,85,801"
"93","Normal/Others","WS/MP664/2025-2026/146325-Construction of community centers and community halls","Maharashtra","MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA)","ahok mahadeo palwankar dighenagar socity community hall","Arvind Ganpat Sawant","MUMBAI SOUTH","13-Jan-2026","Images","N/A","11,93,715"
"94","Normal/Others","WS/MP664/2025-2026/146327-Construction of community centers and community halls","Maharashtra","MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA)","navkranti seva sangh t.j road sewri community hall","Arvind Ganpat Sawant","MUMBAI SOUTH","13-Jan-2026","Images","N/A","10,94,240"
"95","Normal/Others","WS/MP664/2025-2026/146329-Construction of community centers and community halls","Maharashtra","MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA)","shivshankar seva mandal wadia road bhoiwada sewri community hall","Arvind Ganpat Sawant","MUMBAI SOUTH","13-Jan-2026","Images","N/A","12,46,813"
"96","Normal/Others","WS/MP664/2025-2026/146330-Construction of community centers and community halls","Maharashtra","MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA)","vikrant sadan gas pipeline lane sewri community hall","Arvind Ganpat Sawant","MUMBAI SOUTH","13-Jan-2026","Images","N/A","14,96,175"
"97","Normal/Others","WS/MP664/2025-2026/146335-Construction of community centers and community halls","Maharashtra","MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA)","jay bajrang krida mandal n.m joshi marg sewri community hall","Arvind Ganpat Sawant","MUMBAI SOUTH","13-Jan-2026","Images","N/A","14,94,831"
"98","Normal/Others","WS/MP664/2025-2026/146362-Construction of community centers and community halls","Maharashtra","MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA)","vishwakamal navratri utsav mandal senapati bapat marg worli community hall","Arvind Ganpat Sawant","MUMBAI SOUTH","14-Jan-2026","Images","N/A","10,93,255"
"99","Normal/Others","WS/MP664/2025-2026/146363-Construction of community centers and community halls","Maharashtra","MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA)","navhans krida mandal gm bhosle marg worli community hall","Arvind Ganpat Sawant","MUMBAI SOUTH","14-Jan-2026","Images","N/A","15,90,188"
"100","Normal/Others","WS/MP664/2025-2026/146365-Construction of community centers and community halls","Maharashtra","MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA)","engel seva mandal worli naka worli community hall","Arvind Ganpat Sawant","MUMBAI SOUTH","14-Jan-2026","Images","N/A","20,89,002"
"101","Normal/Others","WS/MP664/2025-2026/146367-Construction of community centers and community halls","Maharashtra","MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA)","janta rahiwasi seva sangh worlikoliwada worli community hall","Arvind Ganpat Sawant","MUMBAI SOUTH","14-Jan-2026","Images","N/A","20,94,646"
"102","Normal/Others","WS/MP664/2025-2026/146368-Construction of community centers and community halls","Maharashtra","MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA)","uday krida mandal janta colony worlikoliwada worli community hall","Arvind Ganpat Sawant","MUMBAI SOUTH","14-Jan-2026","Images","N/A","17,95,410"
"103","Normal/Others","WS/MP457/2024-2025/146373-Construction of community centers and community halls","Tamil Nadu","VILLUPURAM(DISTRICT COLLECTOR VILLUPURAM_IDA)","Fair Price Shop (Ration Shop) at Nadukuppam Village of Marakanam Taluk, Viluppuram District","D Ravikumar","VILUPPURAM(SC)","25-Nov-2025","Images","N/A","12,99,466"
"104","Normal/Others","WS/MP761/2024-2025/146424-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of community hall in Munnurukapu wada","Arvind Dharmapuri","NIZAMABAD","13-Nov-2025","N/A","N/A","3,00,000"
"105","Normal/Others","WS/MP761/2024-2025/146434-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in SC Madiga Colony at Arapet 5th ward Metpally","Arvind Dharmapuri","NIZAMABAD","19-Jan-2026","Images","N/A","2,49,579"
"106","Normal/Others","WS/MP435/2024-2025/146461-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Construction of Community Hall at Sarna Samiti Akhra, Veer Birsa Nagar, East jail more under ward-18, Ranchi.","Sanjay Seth","RANCHI","30-Nov-2025","N/A","N/A","13,25,800"
"107","Normal/Others","WS/MP761/2024-2025/146482-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of community hall in Munnurukapu Colony","Arvind Dharmapuri","NIZAMABAD","12-Jan-2026","Images","N/A","3,99,973"
"108","Normal/Others","WS/MP643/2024-2025/146596-Construction of community centers and community halls","Madhya Pradesh","BURHANPUR(District Collector Burhanpur_IDA)","SABHA MANDAP AT WARD NUM 2 NEAR PANI TANKI","Gyaneshwar Patil","KHANDWA","24-Jan-2026","Images","N/A","5,00,000"
"109","Normal/Others","WS/MP761/2024-2025/146606-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community hall in Reddy Colony","Arvind Dharmapuri","NIZAMABAD","30-Jan-2024","N/A","N/A","4,94,999"
"110","Normal/Others","WS/MP761/2024-2025/146607-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Mahila Bhavan near Shabarimatha Aashramam, Nyalkal road","Arvind Dharmapuri","NIZAMABAD","12-Sep-2024","N/A","N/A","3,00,000"
"111","Normal/Others","WS/MP761/2024-2025/146659-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Gangaputa Colony, Arapet 5th ward, Metpally town","Arvind Dharmapuri","NIZAMABAD","19-Jan-2026","Images","N/A","2,50,000"
"112","Normal/Others","WS/MP761/2024-2025/146667-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Munnurukapu Colony, Arapet 5th ward, Metpally town","Arvind Dharmapuri","NIZAMABAD","13-Nov-2025","N/A","N/A","2,50,000"
"113","Normal/Others","WS/MP761/2024-2025/146746-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Shivaji Nagar Munnurukapu wada at Ward No 1 Metpally town","Arvind Dharmapuri","NIZAMABAD","13-Nov-2025","Images","N/A","2,99,650"
"114","Normal/Others","WS/MP761/2024-2025/146748-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Guradikapu wada,","Arvind Dharmapuri","NIZAMABAD","13-Nov-2025","Images","N/A","2,96,538"
"115","Normal/Others","WS/MP761/2024-2025/146752-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall at Raithumithra Sangham at Ward No 14","Arvind Dharmapuri","NIZAMABAD","13-Nov-2025","Images","N/A","3,97,121"
"116","Normal/Others","WS/MP761/2024-2025/146759-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Village Commmunity hall at Chinnametupally","Arvind Dharmapuri","NIZAMABAD","12-Jan-2026","N/A","N/A","4,49,770"
"117","Normal/Others","WS/MP18121/2024-2025/146766-Construction of community centers and community halls","Maharashtra","JALGAON(DISTRICT COLLECTOR JALGAON_IDA)","Construction of a community hall at Pohare, Taluka Chalisgaon","SMITA UDAY WAGH","JALGAON","28-Sep-2025","Images","N/A","19,98,833"
"118","Normal/Others","WS/MP761/2024-2025/147241-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community hall in Bit-1","Arvind Dharmapuri","NIZAMABAD","20-Mar-2024","N/A","N/A","4,92,939"
"119","Normal/Others","WS/MP18313/2024-2025/147437-Construction of community centers and community halls","Rajasthan","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","barwala bheruji sira bavsi par biradari nirman kary","RAJ KUMAR ROAT","BANSWARA(ST)","08-Jan-2026","N/A","N/A","9,98,150"
"120","Normal/Others","WS/MP18313/2024-2025/147458-Construction of community centers and community halls","Rajasthan","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","pitradev bavsi khorapada mein biradari nirman kary","RAJ KUMAR ROAT","BANSWARA(ST)","07-Jan-2026","N/A","N/A","9,81,300"
"121","Normal/Others","WS/MP661/2025-2026/147465-Construction of community centers and community halls","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Construction of community hall at Khairenagar Tq. Ambegaon, Dist. Pune","Amol Ramsing Kolhe","SHIRUR","21-Jan-2026","Images","N/A","9,99,694"
"122","Normal/Others","WS/MP18336/2024-2025/147584-Construction of community centers and community halls","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","HALL NIRMAN- VIPRA VATIKA SMRITI BALMIKI SHUKLA BHAWAN KE PASS SAMUDAYIK BHAWAN ME HALL NIRMAN","BRIJMOHAN AGRAWAL","RAIPUR","15-Jul-2025","Images","N/A","10,00,000"
"123","Normal/Others","WS/MP18336/2024-2025/147585-Construction of community centers and community halls","Chhattisgarh","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","SAMUDAYIK BHAWAN NIRMAN- GRAM KHAPRIDIH KHURD (CHINGARI) ME SAMUDAYIK BHAWAN NIRMAN","BRIJMOHAN AGRAWAL","RAIPUR","21-Jan-2026","Images","N/A","6,71,255"
"124","Normal/Others","WS/MP18336/2024-2025/147586-Construction of community centers and community halls","Chhattisgarh","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","SAMUDAYIK BHAWAN NIRMAN- GRAM BARONDA ME","BRIJMOHAN AGRAWAL","RAIPUR","15-Dec-2025","Images","N/A","5,00,000"
"125","Normal/Others","WS/MP18336/2024-2025/147603-Construction of community centers and community halls","Chhattisgarh","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","SHED NIRMAN- GRAM PANCHAYAT KANDUL AGANBADI BHAWAN KE PAS SAMUDAYIK BHAWAN ME SHED NIRMAN","BRIJMOHAN AGRAWAL","RAIPUR","10-Nov-2025","Images","N/A","9,98,338"
"126","Normal/Others","WS/MP761/2024-2025/148184-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of community hall in Gangaputra wada","Arvind Dharmapuri","NIZAMABAD","03-May-2024","N/A","N/A","3,48,178"
"127","Normal/Others","WS/MP18138/2025-2026/148805-Construction of community centers and community halls","Mizoram","LUNGLEI(Deputy Commissioner, Lunglei)","Construction of waiting shed near Health Sub Centre, Zawlpui","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","13-Oct-2025","Images","N/A","2,50,000"
"128","Normal/Others","WS/MP18311/2024-2025/148979-Construction of community centers and community halls","Punjab","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","Construction  of Community halls at Village Sarhal Qazian","MALVINDER SINGH KANG","ANANDPUR SAHIB","28-Feb-2025","N/A","N/A","5,00,000"
"129","Normal/Others","WS/MP18311/2024-2025/148980-Construction of community centers and community halls","Punjab","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","Construction  of Community halls at Village Gunachaur","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Jun-2025","N/A","N/A","5,00,000"
"130","Normal/Others","WS/MP761/2024-2025/149042-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community hall in 2nd floor in existing community hall near Sri Gandla Pattana Sangham, Sirnapalli Gadi","Arvind Dharmapuri","NIZAMABAD","01-Sep-2025","N/A","N/A","4,00,000"
"131","Normal/Others","WS/MP761/2024-2025/149045-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Gudetikapu Colony at Arapet 5th ward Metpally","Arvind Dharmapuri","NIZAMABAD","19-Jan-2026","Images","N/A","2,50,000"
"132","Normal/Others","WS/MP761/2025-2026/149046-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Kummari Wada Ward No 10 , Lingampet, Jagtial town","Arvind Dharmapuri","NIZAMABAD","12-Jan-2026","N/A","N/A","3,49,820"
"133","Normal/Others","WS/MP18032/2025-2026/149324-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Construction of boundries of community hall and construction of 2nd floor of community halll at mahmudganj(durgawati)","SUDHAKAR SINGH","BUXAR","06-Mar-2026","N/A","N/A","14,89,222"
"134","Normal/Others","WS/MP719/2024-2025/149560-Construction of community centers and community halls","Rajasthan","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Construction of new Comunity Hall at near RamDev ji Temple srirampura","Bhagirath Chaudhary","AJMER","23-Jan-2026","N/A","N/A","4,95,931"
"135","Normal/Others","WS/MP761/2024-2025/150625-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Munnurukapu wada, Subhash nagar in ward No 26, Metpally","Arvind Dharmapuri","NIZAMABAD","19-Jan-2026","N/A","N/A","2,99,648"
"136","Normal/Others","WS/MP761/2024-2025/150759-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Compound wall to Community hall near Munnurukapu wada at Dharpally (V) & (M)","Arvind Dharmapuri","NIZAMABAD","29-Apr-2024","N/A","N/A","4,00,000"
"137","Normal/Others","WS/MP761/2024-2025/150761-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Artisan shed near Sub Station of Yellareddypally","Arvind Dharmapuri","NIZAMABAD","30-Apr-2024","N/A","N/A","4,94,999"
"138","Normal/Others","WS/MP761/2024-2025/150762-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community hall in Munnurukapu Kindiwadakattu wada at Lolam(V) of Indalwai","Arvind Dharmapuri","NIZAMABAD","15-Apr-2024","N/A","N/A","3,00,000"
"139","Normal/Others","WS/MP18335/2024-2025/150803-Construction of community centers and community halls","Chhattisgarh","SARANGARH BILAIGARH(Collector SB_IDA)","construction of Cultural Stage","RADHE SHYAM RATHIYA","RAIGARH(ST)","15-Jan-2026","Images","N/A","3,00,000"
"140","Normal/Others","WS/MP18335/2024-2025/150814-Construction of community centers and community halls","Chhattisgarh","SARANGARH BILAIGARH(Collector SB_IDA)","Construction Of Cultural stage","RADHE SHYAM RATHIYA","RAIGARH(ST)","12-Dec-2025","N/A","N/A","2,99,592"
"141","Normal/Others","WS/MP18064/2024-2025/150855-Construction of community centers and community halls","Haryana","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","Construction of Additional Room/hall in Ror Bhawan Umri","NAVEEN JINDAL","KURUKSHETRA","24-Feb-2026","Images","N/A","9,45,264"
"142","Normal/Others","WS/MP18335/2025-2026/151032-Construction of community centers and community halls","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Construction of Cultural stage","RADHE SHYAM RATHIYA","RAIGARH(ST)","13-Jan-2026","Images","N/A","2,00,000"
"143","Trust and Society","WS/MP18064/2025-2026/151038-Construction of community centers and community halls","Haryana","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","Construction of hall/room  in Bajigar Dharamshala","NAVEEN JINDAL","KURUKSHETRA","03-Mar-2026","Images","N/A","10,77,156"
"144","Normal/Others","WS/MP755/2024-2025/151522-Construction of community centers and community halls","Tamil Nadu","KANCHIPURAM(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Construction of a Ration Shop.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","27-Feb-2026","Images","N/A","13,99,631"
"145","Normal/Others","WS/MP429/2024-2025/151716-Construction of community centers and community halls","Chhattisgarh","KORBA(Collector-Korba)","Shed construction in Dadar para, Gram - Lafa, Vikas khand - Pali","Jyotsna Charandas Mahant","KORBA","25-Apr-2025","Images","N/A","5,00,000"
"146","Normal/Others","WS/MP429/2024-2025/151725-Construction of community centers and community halls","Chhattisgarh","KORBA(Collector-Korba)","Manch construction in Bhatapara Mohalla, Gram - Jampani, Vikaskhand - Kartala","Jyotsna Charandas Mahant","KORBA","24-Nov-2025","N/A","N/A","3,00,000"
